Log Cluster: ID_20251013_135832_746677
------------------------------------------------
SETTINGS:
Minimum Confidence: 0.15
Minimum Area: 200
Aspect Ratio Range: 0.15 - 10.0
Frame Resolution: 600 x 1020
------------------------------------------------
ID: 61 | frame: 183 | start: 2025-10-13 14:00:28.993 | end: 2025-10-13 14:00:28.997 | process: 0.005s | people detected: 3
ID: 62 | frame: 186 | start: 2025-10-13 14:00:30.855 | end: 2025-10-13 14:00:30.860 | process: 0.005s | people detected: 4
ID: 63 | frame: 189 | start: 2025-10-13 14:00:32.729 | end: 2025-10-13 14:00:32.736 | process: 0.007s | people detected: 3
ID: 64 | frame: 192 | start: 2025-10-13 14:00:34.576 | end: 2025-10-13 14:00:34.580 | process: 0.004s | people detected: 3
ID: 65 | frame: 195 | start: 2025-10-13 14:00:36.361 | end: 2025-10-13 14:00:36.366 | process: 0.005s | people detected: 3
ID: 66 | frame: 198 | start: 2025-10-13 14:00:38.124 | end: 2025-10-13 14:00:38.130 | process: 0.007s | people detected: 3
ID: 67 | frame: 201 | start: 2025-10-13 14:00:39.887 | end: 2025-10-13 14:00:39.894 | process: 0.007s | people detected: 5
ID: 68 | frame: 204 | start: 2025-10-13 14:00:41.702 | end: 2025-10-13 14:00:41.707 | process: 0.005s | people detected: 5
ID: 69 | frame: 207 | start: 2025-10-13 14:00:43.560 | end: 2025-10-13 14:00:43.565 | process: 0.005s | people detected: 5
ID: 70 | frame: 210 | start: 2025-10-13 14:00:45.476 | end: 2025-10-13 14:00:45.481 | process: 0.005s | people detected: 5
ID: 71 | frame: 213 | start: 2025-10-13 14:00:47.426 | end: 2025-10-13 14:00:47.432 | process: 0.006s | people detected: 4
ID: 72 | frame: 216 | start: 2025-10-13 14:00:49.301 | end: 2025-10-13 14:00:49.305 | process: 0.005s | people detected: 4
ID: 73 | frame: 219 | start: 2025-10-13 14:00:51.185 | end: 2025-10-13 14:00:51.190 | process: 0.004s | people detected: 3
ID: 74 | frame: 222 | start: 2025-10-13 14:00:53.072 | end: 2025-10-13 14:00:53.076 | process: 0.004s | people detected: 3
ID: 75 | frame: 225 | start: 2025-10-13 14:00:54.910 | end: 2025-10-13 14:00:54.915 | process: 0.006s | people detected: 3
ID: 76 | frame: 228 | start: 2025-10-13 14:00:56.691 | end: 2025-10-13 14:00:56.696 | process: 0.005s | people detected: 4
ID: 77 | frame: 231 | start: 2025-10-13 14:00:58.435 | end: 2025-10-13 14:00:58.442 | process: 0.007s | people detected: 4
ID: 78 | frame: 234 | start: 2025-10-13 14:01:00.233 | end: 2025-10-13 14:01:00.239 | process: 0.005s | people detected: 3
ID: 79 | frame: 237 | start: 2025-10-13 14:01:02.031 | end: 2025-10-13 14:01:02.039 | process: 0.008s | people detected: 4
ID: 80 | frame: 240 | start: 2025-10-13 14:01:03.869 | end: 2025-10-13 14:01:03.873 | process: 0.004s | people detected: 4
ID: 81 | frame: 243 | start: 2025-10-13 14:01:05.655 | end: 2025-10-13 14:01:05.661 | process: 0.006s | people detected: 3
ID: 82 | frame: 246 | start: 2025-10-13 14:01:07.430 | end: 2025-10-13 14:01:07.435 | process: 0.005s | people detected: 5
ID: 83 | frame: 249 | start: 2025-10-13 14:01:09.252 | end: 2025-10-13 14:01:09.259 | process: 0.007s | people detected: 4
ID: 84 | frame: 252 | start: 2025-10-13 14:01:11.096 | end: 2025-10-13 14:01:11.101 | process: 0.005s | people detected: 4
ID: 85 | frame: 255 | start: 2025-10-13 14:01:12.937 | end: 2025-10-13 14:01:12.942 | process: 0.005s | people detected: 6
ID: 86 | frame: 258 | start: 2025-10-13 14:01:14.868 | end: 2025-10-13 14:01:14.876 | process: 0.008s | people detected: 4
ID: 87 | frame: 261 | start: 2025-10-13 14:01:16.763 | end: 2025-10-13 14:01:16.771 | process: 0.008s | people detected: 4
ID: 88 | frame: 264 | start: 2025-10-13 14:01:18.686 | end: 2025-10-13 14:01:18.693 | process: 0.007s | people detected: 5
ID: 89 | frame: 267 | start: 2025-10-13 14:01:20.608 | end: 2025-10-13 14:01:20.614 | process: 0.006s | people detected: 5
ID: 90 | frame: 270 | start: 2025-10-13 14:01:22.518 | end: 2025-10-13 14:01:22.522 | process: 0.005s | people detected: 4
ID: 91 | frame: 273 | start: 2025-10-13 14:01:24.435 | end: 2025-10-13 14:01:24.441 | process: 0.006s | people detected: 4
ID: 92 | frame: 276 | start: 2025-10-13 14:01:26.215 | end: 2025-10-13 14:01:26.221 | process: 0.006s | people detected: 4
ID: 93 | frame: 279 | start: 2025-10-13 14:01:27.927 | end: 2025-10-13 14:01:27.931 | process: 0.004s | people detected: 3
ID: 94 | frame: 282 | start: 2025-10-13 14:01:29.690 | end: 2025-10-13 14:01:29.695 | process: 0.005s | people detected: 4
ID: 95 | frame: 285 | start: 2025-10-13 14:01:31.423 | end: 2025-10-13 14:01:31.427 | process: 0.004s | people detected: 3
ID: 96 | frame: 288 | start: 2025-10-13 14:01:33.202 | end: 2025-10-13 14:01:33.207 | process: 0.006s | people detected: 2
ID: 97 | frame: 291 | start: 2025-10-13 14:01:34.913 | end: 2025-10-13 14:01:34.917 | process: 0.004s | people detected: 2
ID: 98 | frame: 294 | start: 2025-10-13 14:01:38.085 | end: 2025-10-13 14:01:38.091 | process: 0.006s | people detected: 3
ID: 99 | frame: 297 | start: 2025-10-13 14:01:40.060 | end: 2025-10-13 14:01:40.065 | process: 0.004s | people detected: 3
ID: 100 | frame: 300 | start: 2025-10-13 14:01:41.947 | end: 2025-10-13 14:01:41.951 | process: 0.005s | people detected: 3
ID: 101 | frame: 303 | start: 2025-10-13 14:01:43.900 | end: 2025-10-13 14:01:43.905 | process: 0.006s | people detected: 4
ID: 102 | frame: 306 | start: 2025-10-13 14:01:45.772 | end: 2025-10-13 14:01:45.777 | process: 0.005s | people detected: 4
ID: 103 | frame: 309 | start: 2025-10-13 14:01:47.714 | end: 2025-10-13 14:01:47.719 | process: 0.006s | people detected: 4
ID: 104 | frame: 312 | start: 2025-10-13 14:01:49.624 | end: 2025-10-13 14:01:49.631 | process: 0.007s | people detected: 4
ID: 105 | frame: 315 | start: 2025-10-13 14:01:51.506 | end: 2025-10-13 14:01:51.511 | process: 0.005s | people detected: 4
ID: 106 | frame: 318 | start: 2025-10-13 14:01:53.379 | end: 2025-10-13 14:01:53.384 | process: 0.004s | people detected: 2
ID: 107 | frame: 321 | start: 2025-10-13 14:01:55.412 | end: 2025-10-13 14:01:55.417 | process: 0.005s | people detected: 2
ID: 108 | frame: 324 | start: 2025-10-13 14:01:57.532 | end: 2025-10-13 14:01:57.539 | process: 0.007s | people detected: 2
